# ipa-fr.tsv —— 由 scripts/build-ipa.ts 生成，可手工修正
# 数据源：open-dict-data/ipa-dict fr_FR（MIT）
# 已按标准加拿大法语调整：â → /ɑ/，闭音节 ê / aî → /ɛː/（见 toCanadianStandard）
# 只收能归约成单个词的条目，多词语块手写在 ipa-fr-manual.tsv
# 格式：<词条><TAB><音标>，词条须与 _src.psv 第 3 列完全一致
dénonce	/denɔ̃s/
croissant	/kʁwasɑ̃/
répandu	/ʁepɑ̃dy/
fréquent / rare	/fʁekɑ̃/ / /ʁaʁ/
suffisant / insuffisant	/syfizɑ̃/ / /ɛ̃syfizɑ̃/
excessif	/ɛksesif/
limité	/limite/
nettement	/nɛtmɑ̃/
largement	/laʁʒəmɑ̃/
efficace / l'efficacité	/efikas/ / /efikasite/
rentable	/ʁɑ̃tabl/
réaliste / irréaliste	/ʁealist/ / /iʁealist/
faisable / la faisabilité	/fəzabl/ / /fəzabilite/
bénéfique	/benefik/
nuisible / néfaste	/nɥizibl/ / /nefast/
durable	/dyʁabl/
prioritaire / la priorité	/pʁijɔʁitɛʁ/ / /pʁijɔʁite/
indispensable	/ɛ̃dispɑ̃sabl/
facultatif / obligatoire	/fakyltatif/ / /ɔbligatwaʁ/
la cause / la conséquence	/koz/ / /kɔ̃sekɑ̃s/
l'enjeu	/ɑ̃ʒø/
inévitable	/inevitabl/
sinon	/sinɔ̃/
l'évolution / évoluer	/evɔlysjɔ̃/ / /evɔlɥe/
la tendance	/tɑ̃dɑ̃s/
la hausse / la baisse	/ʼos/ / /bɛs/
le bouleversement	/bulvɛʁsəmɑ̃/
l'argument	/aʁgymɑ̃/
controversé	/kɔ̃tʁɔvɛʁse/
le consensus	/kɔ̃sɛ̃sys/
réticent / la réticence	/ʁetisɑ̃/ / /ʁetisɑ̃s/
le préjugé	/pʁeʒyʒe/
nuancé	/nɥɑ̃se/
convaincant	/kɔ̃vɛ̃kɑ̃/
discutable	/diskytabl/
le défi	/defi/
l'obstacle	/ɔpstakl/
surmonter	/syʁmɔ̃te/
résoudre / la résolution	/ʁezudʁ/ / /ʁezɔlysjɔ̃/
réduire / limiter	/ʁedɥiʁ/ / /limite/
un compromis	/kɔ̃pʁɔmi/
une alternative	/altɛʁnativ/
la politique	/pɔlitik/
la loi / la réglementation	/lwa/ / /ʁɛgləmɑ̃tasjɔ̃/
la subvention	/sybvɑ̃sjɔ̃/
l'investissement	/ɛ̃vɛstismɑ̃/
le budget / les fonds	/bydʒɛ/ / /fɔ̃/
la transparence	/tʁɑ̃spaʁɑ̃s/
l'équité	/ekite/
l'accessibilité	/aksesibilite/
les données / les chiffres	/dɔne/ / /ʃifʁ/
une enquête / un sondage	/ɑ̃kɛːt/ / /sɔ̃daʒ/
le taux	/to/
la proportion / la part	/pʁɔpɔʁsjɔ̃/ / /paʁ/
représenter	/ʁəpʁezɑ̃te/
notamment	/nɔtamɑ̃/
le comportement	/kɔ̃pɔʁtəmɑ̃/
la mentalité	/mɑ̃talite/
la motivation	/mɔtivasjɔ̃/
la persévérance	/pɛʁseveʁɑ̃s/
la souplesse / flexible	/suplɛs/ / /flɛksibl/
l'isolement	/izɔlmɑ̃/
l'épanouissement	/epanwismɑ̃/
surmené / le surmenage	/syʁməne/ / /syʁmənaʒ/
le secteur	/sɛktœʁ/
la restauration / l'hôtellerie	/ʁɛstɔʁasjɔ̃/ / /otɛlʁi/
la construction	/kɔ̃stʁyksjɔ̃/
le métier	/metje/
le gestionnaire	/ʒɛstjɔnɛʁ/
le bureau	/byʁo/
la visioconférence	/vizjokɔ̃feʁɑ̃s/
l'imprimante / le photocopieur	/ɛ̃pʁimɑ̃t/ / /fɔtɔkɔpjœʁ/
le dossier	/dosje/
classer / archiver	/klase/ / /aʁʃive/
le client / la clientèle	/klijɑ̃/ / /klijɑ̃tɛl/
la soumission	/sumisjɔ̃/
le devis	/dəvi/
la rentabilité	/ʁɑ̃tabilite/
négocier / la négociation	/negɔsje/ / /negɔsjasjɔ̃/
le partenariat	/paʁtənaʁja/
le chantier	/ʃɑ̃tje/
coordonner	/kɔɔʁdɔne/
le balcon / la terrasse	/balkɔ̃/ / /tɛʁas/
la buanderie	/byɑ̃dʁi/
l'ascenseur	/asɑ̃sœʁ/
l'isolation	/izɔlasjɔ̃/
les électroménagers	/elɛktʁɔmenaʒe/
le thermostat	/tɛʁmɔsta/
l'éviction / expulser	/eviksjɔ̃/ / /ɛkspylse/
le cautionnement / l'endosseur	/kosjɔnmɑ̃/ / /ɑ̃dosœʁ/
le quartier	/kaʁtje/
le trottoir	/tʁɔtwaʁ/
l'arrondissement	/aʁɔ̃dismɑ̃/
la pétition	/petisjɔ̃/
le zonage	/zonaʒ/
le chirurgien / la chirurgie	/ʃiʁyʁʒjɛ̃/ / /ʃiʁyʁʒi/
la radiographie / l'échographie	/ʁadjɔgʁafi/ / /ekogʁafi/
le diagnostic	/djagnɔstik/
le traitement	/tʁɛtmɑ̃/
la posologie	/pozɔlɔʒi/
le suivi	/sɥivi/
la convalescence	/kɔ̃valesɑ̃s/
l'entorse / la fracture	/ɑ̃tɔʁs/ / /fʁaktyʁ/
l'ambulance	/ɑ̃bylɑ̃s/
le triage	/tʁijaʒ/
les engelures / l'hypothermie	/ɑ̃ʒlyʁ/ / /ipɔtɛʁmi/
le pédiatre	/pedjatʁ/
la déduction	/dedyksjɔ̃/
la circulaire	/siʁkylɛʁ/
l'endettement	/ɑ̃dɛtmɑ̃/
le placement / investir	/plasmɑ̃/ / /ɛ̃vɛstiʁ/
la fraude / l'escroquerie	/fʁod/ / /ɛskʁɔkʁi/
